"Data (mm-dd)","Distrito","Óbitos"
"Jan-01","Aveiro","29"
"Jan-02","Aveiro","16"
"Jan-03","Aveiro","17"
"Jan-04","Aveiro","28"
"Jan-05","Aveiro","19"
"Jan-06","Aveiro","18"
"Jan-07","Aveiro","19"
"Jan-08","Aveiro","30"
"Jan-09","Aveiro","25"
"Jan-10","Aveiro","22"
"Jan-11","Aveiro","23"
"Jan-12","Aveiro","28"
"Jan-13","Aveiro","20"
"Jan-14","Aveiro","49"
"Jan-15","Aveiro","23"
"Jan-16","Aveiro","38"
"Jan-17","Aveiro","11"
"Jan-18","Aveiro","32"
"Jan-19","Aveiro","21"
"Jan-20","Aveiro","40"
"Jan-21","Aveiro","34"
"Jan-22","Aveiro","22"
"Jan-23","Aveiro","23"
"Jan-24","Aveiro","23"
"Jan-25","Aveiro","28"
"Jan-26","Aveiro","26"
"Jan-27","Aveiro","33"
"Jan-28","Aveiro","22"
"Jan-29","Aveiro","29"
"Jan-30","Aveiro","41"
"Jan-31","Aveiro","34"
"Fev-01","Aveiro","21"
"Fev-02","Aveiro","25"
"Fev-03","Aveiro","28"
"Fev-04","Aveiro","31"
"Fev-05","Aveiro","33"
"Fev-06","Aveiro","25"
"Fev-07","Aveiro","31"
"Fev-08","Aveiro","34"
"Fev-09","Aveiro","26"
"Fev-10","Aveiro","19"
"Fev-11","Aveiro","28"
"Fev-12","Aveiro","20"
"Fev-13","Aveiro","19"
"Fev-14","Aveiro","30"
"Fev-15","Aveiro","19"
"Fev-16","Aveiro","28"
"Fev-17","Aveiro","20"
"Fev-18","Aveiro","28"
"Fev-19","Aveiro","30"
"Fev-20","Aveiro","21"
"Fev-21","Aveiro","24"
"Fev-22","Aveiro","20"
"Fev-23","Aveiro","14"
"Fev-24","Aveiro","20"
"Fev-25","Aveiro","24"
"Fev-26","Aveiro","22"
"Fev-27","Aveiro","24"
"Fev-28","Aveiro","24"
"Mar-01","Aveiro","22"
"Mar-02","Aveiro","20"
"Mar-03","Aveiro","22"
"Mar-04","Aveiro","12"
"Mar-05","Aveiro","21"
"Mar-06","Aveiro","23"
"Mar-07","Aveiro","22"
"Mar-08","Aveiro","16"
