"Data (mm-dd)","Distrito","Óbitos"
"Jan-01","Aveiro","20"
"Jan-02","Aveiro","15"
"Jan-03","Aveiro","20"
"Jan-04","Aveiro","23"
"Jan-05","Aveiro","20"
"Jan-06","Aveiro","26"
"Jan-07","Aveiro","31"
"Jan-08","Aveiro","28"
"Jan-09","Aveiro","15"
"Jan-10","Aveiro","32"
"Jan-11","Aveiro","28"
"Jan-12","Aveiro","22"
"Jan-13","Aveiro","25"
"Jan-14","Aveiro","17"
"Jan-15","Aveiro","25"
"Jan-16","Aveiro","20"
"Jan-17","Aveiro","25"
"Jan-18","Aveiro","23"
"Jan-19","Aveiro","19"
"Jan-20","Aveiro","21"
"Jan-21","Aveiro","26"
"Jan-22","Aveiro","20"
"Jan-23","Aveiro","40"
"Jan-24","Aveiro","17"
"Jan-25","Aveiro","25"
"Jan-26","Aveiro","30"
"Jan-27","Aveiro","27"
"Jan-28","Aveiro","29"
"Jan-29","Aveiro","29"
"Jan-30","Aveiro","24"
"Jan-31","Aveiro","28"
"Fev-01","Aveiro","31"
"Fev-02","Aveiro","34"
"Fev-03","Aveiro","21"
"Fev-04","Aveiro","27"
"Fev-05","Aveiro","19"
"Fev-06","Aveiro","25"
"Fev-07","Aveiro","15"
"Fev-08","Aveiro","25"
"Fev-09","Aveiro","26"
"Fev-10","Aveiro","17"
"Fev-11","Aveiro","25"
"Fev-12","Aveiro","26"
"Fev-13","Aveiro","26"
"Fev-14","Aveiro","19"
"Fev-15","Aveiro","24"
"Fev-16","Aveiro","15"
"Fev-17","Aveiro","31"
"Fev-18","Aveiro","25"
"Fev-19","Aveiro","18"
"Fev-20","Aveiro","23"
"Fev-21","Aveiro","27"
"Fev-22","Aveiro","21"
"Fev-23","Aveiro","21"
"Fev-24","Aveiro","21"
"Fev-25","Aveiro","18"
"Fev-26","Aveiro","23"
"Fev-27","Aveiro","25"
"Fev-28","Aveiro","23"
"Fev-29","Aveiro","24"
"Mar-01","Aveiro","23"
"Mar-02","Aveiro","22"
"Mar-03","Aveiro","25"
"Mar-04","Aveiro","22"
"Mar-05","Aveiro","17"
"Mar-06","Aveiro","20"
"Mar-07","Aveiro","16"
"Mar-08","Aveiro","21"
"Mar-09","Aveiro","20"
"Mar-10","Aveiro","18"
"Mar-11","Aveiro","23"
"Mar-12","Aveiro","26"
"Mar-13","Aveiro","18"
"Mar-14","Aveiro","31"
"Mar-15","Aveiro","18"
"Mar-16","Aveiro","24"
"Mar-17","Aveiro","24"
"Mar-18","Aveiro","21"
"Mar-19","Aveiro","31"
"Mar-20","Aveiro","22"
"Mar-21","Aveiro","25"
"Mar-22","Aveiro","20"
"Mar-23","Aveiro","27"
"Mar-24","Aveiro","28"
"Mar-25","Aveiro","21"
"Mar-26","Aveiro","23"
"Mar-27","Aveiro","23"
"Mar-28","Aveiro","31"
"Mar-29","Aveiro","21"
"Mar-30","Aveiro","35"
"Mar-31","Aveiro","33"
"Abr-01","Aveiro","21"
"Abr-02","Aveiro","27"
"Abr-03","Aveiro","28"
"Abr-04","Aveiro","33"
"Abr-05","Aveiro","31"
"Abr-06","Aveiro","31"
"Abr-07","Aveiro","31"
"Abr-08","Aveiro","28"
"Abr-09","Aveiro","25"
"Abr-10","Aveiro","25"
"Abr-11","Aveiro","26"
"Abr-12","Aveiro","13"
"Abr-13","Aveiro","34"
"Abr-14","Aveiro","27"
"Abr-15","Aveiro","21"
"Abr-16","Aveiro","25"
"Abr-17","Aveiro","23"
"Abr-18","Aveiro","29"
"Abr-19","Aveiro","25"
"Abr-20","Aveiro","25"
"Abr-21","Aveiro","13"
"Abr-22","Aveiro","17"
"Abr-23","Aveiro","16"
"Abr-24","Aveiro","20"
"Abr-25","Aveiro","18"
"Abr-26","Aveiro","19"
"Abr-27","Aveiro","21"
"Abr-28","Aveiro","16"
"Abr-29","Aveiro","18"
"Abr-30","Aveiro","18"
"Mai-01","Aveiro","24"
"Mai-02","Aveiro","22"
"Mai-03","Aveiro","17"
"Mai-04","Aveiro","14"
"Mai-05","Aveiro","16"
"Mai-06","Aveiro","11"
"Mai-07","Aveiro","24"
"Mai-08","Aveiro","22"
"Mai-09","Aveiro","14"
"Mai-10","Aveiro","13"
"Mai-11","Aveiro","28"
"Mai-12","Aveiro","24"
"Mai-13","Aveiro","10"
"Mai-14","Aveiro","21"
"Mai-15","Aveiro","17"
"Mai-16","Aveiro","23"
"Mai-17","Aveiro","16"
"Mai-18","Aveiro","20"
"Mai-19","Aveiro","20"
